Machine,Job,Gap 20,Gap 10,Gap 5,Gap 0
5, 9,3.361,41.782,306.636,685.779
5, 9,0.855,5.39,15.503,24.006
5, 9,0.507,2.759,6.736,7.877
5, 9,0.162,1.293,3.352,3.954
5, 9,0.396,2.477,4.195,4.78
5, 9,0.165,2.335,7.999,16.814
5, 9,0.415,2.08,6.883,11.756
5, 9,0.96,4.212,8.326,10.96
5, 9,0.567,2.529,6.807,8.433
5, 9,0.409,2.505,8.773,13.043
5, 9,0.975,9.971,19.45,37.104
5, 9,0.05,0.949,2.097,2.78
5, 9,0.915,3.189,12.103,23.103
5, 9,0.547,2.941,10.4,15.026
5, 9,0.93,3.17,7.903,11.264
5, 9,0.233,3.492,12.047,23.003
5, 9,1.147,3.649,11.375,15.759
5, 9,0.641,2.152,6.259,8.964
5, 9,0.172,2.446,6.526,8.933
5, 9,0.076,2.294,12.1,26.252
5, 9,0.942,3.14,7.763,9.8
5, 9,0.719,2.245,3.072,3.746
5, 9,0.954,2.378,3.859,4.802
5, 9,2.45,11.429,27.727,52.814
5, 9,1.039,4.031,9.035,11.322
5, 9,0.763,3.472,8.733,10.761
5, 9,0.979,2.603,3.379,3.664
5, 9,0.711,3.323,12.948,21.49
5, 9,1.49,1.75,9.512,12.532
5, 9,0.906,3.48,10.376,13.659
5, 9,0.468,3.788,21.721,46.212
5, 9,0.112,0.86,3.444,4.538
5, 9,0.345,0.99,3.21,4.208
5, 9,0.876,2.055,2.998,3.407
5, 9,0.208,3.141,21.047,36.086
5, 9,0.118,1.213,4.145,10.56
5, 9,0.555,2.827,18.172,34.763
5, 9,0.617,2.837,3.509,4.504
5, 9,0.582,2.908,9.64,15.888
5, 9,0.816,2.8,6.575,8.435
5, 9,0.576,1.879,5.625,12.33
5, 9,2.213,16.96,64.046,137.718
5, 9,1.582,15.274,51.125,71.457
5, 9,0.235,3.254,8.294,11.339
5, 9,0.766,2.863,8.231,12.956
5, 9,1.04,7.576,17.851,22.102
5, 9,0.696,6.923,27.793,53.725
5, 9,0.802,35.166,266.882,853.959
5, 9,2.232,27.034,141.154,275.387
5,10,5.119,72.376,190.368,358.747
5,10,1.961,6.979,15.295,24.902
5,10,2.348,17.504,84.922,569.239
5,10,3.008,8.889,20.16,32.139
5,10,3.02,30.498,283.662,759.102
5,10,3.899,12.284,32.822,54.629
5,10,6.593,38.016,90.008,446.751
5,10,2.215,17.642,106.463,533.803
5,10,22.391,261.432,3573.537,19914.317
5,10,5.716,14.781,96.794,173.237
5,10,2.872,29.413,236.694,777.646
5,10,5.487,52.299,731.53,4706.958
5,10,3.697,50.854,451.268,1049.065
5,10,1.822,27.015,200.64,432.751
5,10,5.784,85.828,757.984,2277.617
5,10,1.121,6.068,17.813,25.928
5,10,6.086,249.968,2752.753,10897.113
5,10,4.205,168.161,3193.721,11961.914
5,10,7.767,31.168,73.078,195.491
5,10,8.34,267.733,2115.003,6593.87
5,10,6.208,37.294,141.137,559.402
5,10,2.542,31.566,200.493,551.316
5,10,4.685,108.212,906.421,2363.732
5,10,5.54,13.452,32.722,69.027
5,10,4.587,65.001,339.749,798.445
5,10,2.552,13.316,25.047,123.549
5,10,1.105,3.048,9.177,14.515
5,10,2.864,17.36,152.099,587.793
5,10,8.145,203.44,1195.892,1969.144
5,10,3.618,26.744,134.615,599.268
5,10,1.845,10.336,44.443,70.958
5,10,1.563,5.771,23.408,50.666
5,10,6.024,77.441,775.24,1829.61
5,10,3.34,32.324,244.124,681.009
5,10,3.836,27.354,662.968,4499.673
5,10,4.375,40.272,130.546,360.467
5,10,2.478,18.913,85.639,479.456
5,10,6.522,114.135,1105.459,2100.047
5,10,4.92,42.831,163.472,277.697
5,10,7.751,237.258,2639.858,45940.585
5,10,2.271,85.92,1643.279,4895.503
5,10,7.886,68.355,384.125,723.497
5,10,4.927,55.224,612.101,3680.287
5,10,8.979,229.976,1695.777,3484.607
5,10,8.669,36.61,74.784,174.858
5,10,14.361,2010.037,9887.892,24061.881
5,10,33.869,2067.609,23032.565,63534.553
5,10,11.14,194.211,1503.612,3699.184
5,10,8.439,202.205,1956.466,4463
5,10,7.788,46.81,219.734,653.092
5,10,3.011,16.76,23.037,29.391
5,10,1.578,30.102,144.479,534.993
5,10,14.803,54.376,79.204,120.912
5,10,10.43,46.181,91.091,127.722
5,10,12.929,56.086,212.615,743.444
5,10,7.971,36.287,55.851,82.586
5,10,7.746,16.173,64.597,144.854
5,10,9.048,500.831,2729.902,6560.409
5,10,10.652,72.8,424.012,1647.072
5,10,8.391,47.092,165.22,505.703
5,10,8.017,161.363,1330.923,7449.125
5,10,17.985,138.629,531.197,1040.027
5,10,2.287,15.786,48.804,87.137
5,10,5.931,168.611,2994.17,7990.359
5,10,11.092,348.167,2613.511,4575.77
5,10,8.524,45.343,124.681,664.713
